Country,Cases,Deaths,Year,Month,Day
Papua New Guinea,1,0,2009,6,26
Paraguay,79,0,2009,6,26
Peru,252,0,2009,6,26
Philippines,445,1,2009,6,26
Poland,13,0,2009,6,26
Portugal,7,0,2009,6,26
Qatar,10,0,2009,6,26
Romania,19,0,2009,6,26
Russia,3,0,2009,6,26
Samoa,1,0,2009,6,26
Saudi Arabia,48,0,2009,6,26
Serbia,2,0,2009,6,26
Singapore,315,0,2009,6,26
Slovakia,7,0,2009,6,26
Slovenia,3,0,2009,6,26
South Africa,1,0,2009,6,26
Spain,541,0,2009,6,26
Sri Lanka,7,0,2009,6,26
Suriname,11,0,2009,6,26
Sweden,61,0,2009,6,26
Switzerland,47,0,2009,6,26
Thailand,774,0,2009,6,26
Trinidad and Tobago,25,0,2009,6,26
Tunisia,2,0,2009,6,26
Turkey,26,0,2009,6,26
Ukraine,1,0,2009,6,26
United Arab Emirates,7,0,2009,6,26
United Kingdom,3607,1,2009,6,26
United States of America,21449,87,2009,6,26
Uruguay,195,0,2009,6,26
Vanuatu,2,0,2009,6,26
Venezuela,153,0,2009,6,26
Viet Nam,63,0,2009,6,26
West Bank and Gaza Strip,9,0,2009,6,26
Yemen,6,0,2009,6,26
Algeria,2,0,2009,6,24
Antigua and Barbuda,2,0,2009,6,24
Argentina,1213,7,2009,6,24
Australia,2857,2,2009,6,24
Austria,12,0,2009,6,24
Bahamas,4,0,2009,6,24
Bahrain,15,0,2009,6,24
Bangladesh,1,0,2009,6,24
Barbados,5,0,2009,6,24
Belgium,30,0,2009,6,24
"Bermuda, UKOT",1,0,2009,6,24
Bolivia,44,0,2009,6,24
Brazil,334,0,2009,6,24
"British Virgin Islands, UKOT",1,0,2009,6,24
Brunei Darussalam,4,0,2009,6,24
Bulgaria,5,0,2009,6,24
Cambodia,1,0,2009,6,24
Canada,6457,15,2009,6,24
Cap Verde,3,0,2009,6,24
"Cayman Islands, UKOT",7,0,2009,6,24
Chile,4315,4,2009,6,24
China,906,0,2009,6,24
Colombia,71,2,2009,6,24
Costa Rica,189,1,2009,6,24
Cote d'Ivoire,2,0,2009,6,24
Cuba,15,0,2009,6,24
Cyprus,5,0,2009,6,24
Czech Republic,7,0,2009,6,24
Denmark,34,0,2009,6,24
Dominica,1,0,2009,6,24
Dominican Republic,108,2,2009,6,24
