virus_type,date,country,cases,deaths,recovered,week_number,month,year
Coronavirus,2020-02-15,Egypt,1.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-16,Egypt,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-17,Egypt,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-18,Egypt,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-19,Egypt,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-20,Egypt,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-21,Egypt,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-22,Egypt,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-23,Egypt,0.0,0.0,0.0,8,2,2020
Coronavirus,2020-02-24,Egypt,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-25,Egypt,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-26,Egypt,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-27,Egypt,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-28,Egypt,0.0,0.0,1.0,9,2,2020
Coronavirus,2020-02-29,Egypt,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Egypt,1.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Egypt,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Egypt,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-02-27,Estonia,1.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-28,Estonia,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-02-29,Estonia,0.0,0.0,0.0,9,2,2020
Coronavirus,2020-03-01,Estonia,0.0,0.0,0.0,9,3,2020
Coronavirus,2020-03-02,Estonia,0.0,0.0,0.0,10,3,2020
Coronavirus,2020-03-03,Estonia,1.0,0.0,0.0,10,3,2020
Coronavirus,2020-01-29,Finland,1.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-30,Finland,0.0,0.0,0.0,5,1,2020
Coronavirus,2020-01-31,Finland,0.0,0.0,0.0,5,1,2020
Coronavirus,2020-02-01,Finland,0.0,0.0,0.0,5,2,2020
Coronavirus,2020-02-02,Finland,0.0,0.0,0.0,5,2,2020
Coronavirus,2020-02-03,Finland,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-04,Finland,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-05,Finland,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-06,Finland,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-07,Finland,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-08,Finland,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-09,Finland,0.0,0.0,0.0,6,2,2020
Coronavirus,2020-02-10,Finland,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-11,Finland,0.0,0.0,1.0,7,2,2020
Coronavirus,2020-02-12,Finland,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-13,Finland,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-14,Finland,0.0,0.0,0.0,7,2,2020
Coronavirus,2020-02-15,Finland,0.0,0.0,0.0,7,2,2020
